Farm_ID,Crop_Type,Irrigation_Type,Soil_Type,Season,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters),Yield(tons)
F0022,Wheat,Flood,Loamy,Zaid,183.09,0.82,1.51,19468.39,12.59
F0023,Soybean,Sprinkler,Clay,Rabi,299.88,5.91,1.84,78617.03,30.08
F0024,Tomato,Sprinkler,Silty,Zaid,203.42,7.74,3.62,79892.08,34.57
F0025,Potato,Flood,Clay,Kharif,225.49,8.83,1.56,50672.1,16.55
F0026,Wheat,Sprinkler,Sandy,Rabi,453.23,3.75,2.88,5574.73,30.33
F0027,Soybean,Drip,Sandy,Rabi,181.95,8.3,2.43,30833.43,17.58
F0028,Cotton,Drip,Silty,Kharif,262.83,1.55,3.35,60523.42,24.32
F0029,Sugarcane,Sprinkler,Loamy,Kharif,394.42,8.54,4.69,93306.76,43.52
F0030,Maize,Sprinkler,Sandy,Rabi,205.51,1.71,3.69,61863.22,19.92
F0031,Potato,Flood,Peaty,Zaid,315.58,4.27,1.15,28382.32,28.35
F0032,Cotton,Manual,Sandy,Rabi,432.83,8.07,0.25,62060.51,31.43
F0033,Carrot,Sprinkler,Sandy,Kharif,475.37,1.92,1.39,53598.68,37.67
F0034,Cotton,Drip,Loamy,Rabi,83.77,2.68,3.02,75186.09,12.89
F0035,Sugarcane,Flood,Clay,Kharif,464.17,7.36,0.35,14628.26,25.9
F0036,Carrot,Sprinkler,Sandy,Rabi,252.15,7.34,2.53,73492.51,28.67
F0037,Potato,Drip,Silty,Zaid,138.02,6.59,3.02,53713.99,11.21
F0038,Sugarcane,Drip,Clay,Rabi,236.06,7.09,1.74,91669.28,31.62
F0039,Rice,Manual,Peaty,Rabi,490.26,5.66,3.88,35768.49,35.53
F0040,Maize,Flood,Loamy,Kharif,252.4,2.89,0.62,61935.97,28.76
F0041,Potato,Flood,Peaty,Kharif,172.43,3.78,0.47,88882.53,25.53
F0042,Rice,Manual,Clay,Kharif,321.1,2.23,3.67,14225.88,15.03
F0043,Soybean,Manual,Clay,Rabi,129.19,9.13,2.53,89350.56,23.42
F0044,Potato,Flood,Clay,Zaid,49.02,6.04,3.47,66909.72,20.73
F0045,Soybean,Flood,Peaty,Kharif,74.89,4.31,2.23,11105.34,15.38
F0046,Carrot,Sprinkler,Clay,Kharif,74.49,4.89,1.31,32086.72,19.57
F0047,Rice,Sprinkler,Peaty,Rabi,86.13,9.5,4.11,68735.49,30.71
F0048,Maize,Manual,Clay,Kharif,79.75,1.96,4.02,11061.55,9.01
F0049,Sugarcane,Sprinkler,Silty,Zaid,324.75,6.07,3.5,57395.34,32.82
F0050,Barley,Drip,Clay,Zaid,100.76,5.31,1.43,36129.48,22.23
F0051,Cotton,Sprinkler,Peaty,Kharif,180.69,6.31,2.99,60882.4,22.67
F0052,Wheat,Sprinkler,Sandy,Kharif,449.63,0.67,1.87,9116.78,27.03
F0053,Maize,Drip,Clay,Rabi,243.29,8.79,0.55,83438.31,29.7
F0054,Rice,Manual,Sandy,Zaid,337.77,9.36,4.59,92614.01,36.92
F0055,Barley,Drip,Silty,Zaid,96.09,5.87,0.77,92199.01,21.7
F0056,Maize,Sprinkler,Loamy,Kharif,105.84,7.12,4.76,72468.66,20.03
F0057,Rice,Manual,Silty,Rabi,31.94,9.26,2.29,16707.76,14.87
F0058,Tomato,Sprinkler,Clay,Zaid,94.44,7.22,1.01,73243.69,16.04
F0059,Tomato,Drip,Sandy,Zaid,147.95,1.95,2.76,7212.82,10.89
F0060,Soybean,Drip,Sandy,Rabi,98.38,5.97,4.38,6991.12,17.21
F0061,Maize,Sprinkler,Peaty,Rabi,55.29,6.26,3.69,34124.92,12.59
F0062,Tomato,Flood,Sandy,Zaid,70.87,4.53,4.05,48977.89,15.95
F0063,Rice,Flood,Peaty,Zaid,236.86,7.5,3.33,74336.67,30.64
F0064,Soybean,Drip,Loamy,Rabi,112.69,9.38,3.49,66496.58,27.55
F0065,Rice,Drip,Clay,Zaid,189.76,9.29,4.26,45131.24,26.61
F0066,Soybean,Flood,Peaty,Kharif,257.67,4.78,1.32,29626.4,27.67
F0067,Maize,Flood,Loamy,Kharif,348.91,1.58,2.5,94741.21,19.56
F0068,Barley,Sprinkler,Sandy,Rabi,31.18,9.86,1.18,43356.32,33.01
F0069,Sugarcane,Sprinkler,Sandy,Rabi,402.11,8.47,4.94,45624.83,32.95
F0070,Potato,Flood,Loamy,Rabi,318.42,1.68,4.73,19726.14,24.29
F0071,Barley,Sprinkler,Sandy,Kharif,51.9,9.25,0.29,76532.86,16.8
F0072,Carrot,Sprinkler,Loamy,Zaid,438.31,8.76,3.56,67431.4,44.17
F0073,Rice,Manual,Peaty,Kharif,461.39,5.43,4.63,24869.27,35.77
F0074,Carrot,Sprinkler,Peaty,Zaid,41.81,6.12,0.98,12414.29,7.91
F0075,Barley,Drip,Loamy,Kharif,147.12,4.29,2.88,66244.94,25.93
F0076,Soybean,Sprinkler,Peaty,Zaid,405.43,1.02,4.59,63906.01,29.36
F0077,Potato,Sprinkler,Peaty,Kharif,377.15,3.68,0.27,29593.36,29.1
F0078,Potato,Flood,Peaty,Rabi,102.05,8.13,3.52,90577.72,21.09
F0079,Wheat,Drip,Silty,Kharif,114.16,0.54,1.56,18595.21,8.84
F0080,Potato,Sprinkler,Clay,Zaid,192.79,3.67,4.63,43910.13,30.77
F0081,Sugarcane,Sprinkler,Sandy,Kharif,248.45,4.28,4.86,89925.43,33.8
F0082,Potato,Manual,Silty,Kharif,313.71,5.61,4.73,42775.46,30.6
F0083,Barley,Sprinkler,Peaty,Kharif,192.03,9.24,2.42,62467.34,25.9
F0084,Wheat,Sprinkler,Loamy,Rabi,237.72,3.79,4.32,40783.5,23.01
F0085,Barley,Manual,Peaty,Kharif,376.77,3.8,4.24,29679.37,29.47
F0086,Barley,Flood,Clay,Rabi,29.9,7.51,1.66,93557.99,22.94
F0087,Cotton,Sprinkler,Peaty,Rabi,135.19,4.8,4.16,41840.06,13.4
F0088,Wheat,Manual,Loamy,Kharif,360.11,2.63,0.28,85468.93,33.19
F0089,Barley,Drip,Clay,Kharif,448.86,4.8,3.02,25695.91,26.83
F0090,Cotton,Flood,Peaty,Kharif,261.7,1.84,1.23,24179.42,26.48
F0091,Cotton,Drip,Clay,Zaid,271.67,2.18,0.69,7802.07,13.47
F0092,Wheat,Drip,Sandy,Kharif,64.3,5.23,0.48,63650.01,17.58
F0093,Carrot,Manual,Sandy,Rabi,230.34,4.48,3.51,38167.37,27.49
F0094,Soybean,Sprinkler,Peaty,Kharif,271.92,9.19,1.77,82792.24,32.53
F0095,Sugarcane,Manual,Clay,Zaid,130.33,3.94,3.65,47588.89,19.53
F0096,Soybean,Manual,Loamy,Kharif,143.39,6.02,0.42,92137.41,30.99
F0097,Potato,Manual,Peaty,Zaid,196.11,6.51,1.64,21697.3,23.43
F0098,Sugarcane,Manual,Sandy,Zaid,21.79,0.62,2.74,83176.09,13.3
F0099,Potato,Flood,Sandy,Kharif,169.17,6.8,3.97,74893.72,17.67
F0100,Barley,Sprinkler,Peaty,Rabi,115.19,2.19,1.66,74382.97,11.99
F0101,Rice,Drip,Clay,Zaid,171.82,9.63,3.17,81030.49,35.07
F0102,Wheat,Drip,Sandy,Kharif,70.44,1.91,4.44,73492.16,18.23
F0103,Sugarcane,Sprinkler,Clay,Kharif,446.58,4.44,3.12,61359.83,38.96
F0104,Sugarcane,Drip,Sandy,Rabi,301.67,1.31,1.24,16812.04,22.13
F0105,Barley,Sprinkler,Sandy,Zaid,343.4,9.97,0.22,7927.36,36.49
F0106,Carrot,Drip,Silty,Zaid,397.12,5.27,4.36,87876.31,35.84
F0107,Cotton,Manual,Sandy,Kharif,255.24,6.16,0.2,60498.53,26.91
F0108,Barley,Drip,Loamy,Kharif,54.42,1.14,4.39,76688.36,8.81
F0109,Tomato,Sprinkler,Peaty,Rabi,274.11,7.62,2.69,48337.01,22.64
F0110,Cotton,Sprinkler,Peaty,Rabi,298.38,2.49,4.7,15557.74,13.59
F0111,Wheat,Sprinkler,Clay,Zaid,375.77,9.03,4.01,16266.72,28.83
F0112,Cotton,Sprinkler,Sandy,Zaid,222.65,2.45,4.99,66700.88,31.0
F0113,Carrot,Sprinkler,Loamy,Kharif,74.26,2.31,1.82,43727.53,4.0
F0114,Cotton,Flood,Clay,Zaid,150.48,0.85,3.86,23047.23,11.26
F0115,Wheat,Flood,Silty,Rabi,189.18,4.98,2.07,49243.51,14.93
F0116,Carrot,Drip,Clay,Rabi,327.21,5.87,2.45,10778.8,22.7
F0117,Soybean,Sprinkler,Clay,Kharif,290.54,1.12,3.17,57377.43,24.04
F0118,Sugarcane,Drip,Sandy,Rabi,185.78,7.87,4.38,29209.41,20.34
F0119,Sugarcane,Sprinkler,Silty,Rabi,493.42,4.81,4.92,76780.32,46.03
F0120,Potato,Sprinkler,Clay,Rabi,307.62,5.48,3.86,32932.58,34.85
F0121,Soybean,Flood,Loamy,Rabi,127.77,4.69,2.15,45969.81,6.44
F0122,Soybean,Flood,Loamy,Kharif,61.67,4.31,2.16,6045.85,6.53
F0123,Cotton,Manual,Peaty,Kharif,86.6,5.82,3.71,11520.22,14.62
F0124,Sugarcane,Flood,Silty,Zaid,132.03,1.97,1.27,40324.42,19.26
F0125,Wheat,Manual,Silty,Rabi,90.41,2.23,0.64,48194.5,10.06
F0126,Maize,Manual,Peaty,Zaid,103.04,8.69,1.84,59001.85,22.3
F0127,Maize,Manual,Clay,Kharif,151.13,9.49,1.51,31249.63,17.04
F0128,Carrot,Manual,Silty,Kharif,96.61,4.05,1.55,67548.37,9.56
F0129,Sugarcane,Manual,Loamy,Kharif,449.62,3.07,1.24,82411.02,42.25
F0130,Sugarcane,Drip,Loamy,Kharif,51.15,6.62,0.31,75186.59,9.05
F0131,Maize,Flood,Sandy,Kharif,267.96,4.38,0.19,8565.69,31.25
F0132,Sugarcane,Manual,Silty,Kharif,212.27,0.74,4.94,48245.63,22.42
F0133,Cotton,Sprinkler,Clay,Kharif,491.4,1.98,2.2,14443.72,32.89
F0134,Tomato,Flood,Peaty,Rabi,66.67,7.3,1.98,26784.05,18.64
F0135,Rice,Flood,Peaty,Zaid,206.15,6.76,3.43,93799.63,28.25
F0136,Soybean,Manual,Clay,Kharif,485.1,0.76,1.17,17824.6,29.49
F0137,Potato,Drip,Sandy,Rabi,434.37,2.61,4.75,49899.93,31.27
F0138,Carrot,Manual,Peaty,Rabi,410.73,2.7,3.95,60634.02,34.58
F0139,Tomato,Drip,Silty,Zaid,137.86,6.88,0.54,68221.85,22.07
F0140,Maize,Sprinkler,Sandy,Kharif,95.39,0.69,2.15,55368.38,7.46
F0141,Soybean,Flood,Silty,Zaid,338.3,1.49,4.41,5879.38,17.14
F0142,Sugarcane,Sprinkler,Loamy,Kharif,465.54,8.1,4.73,34381.52,33.88
F0143,Potato,Drip,Sandy,Rabi,283.7,2.2,2.39,51594.05,28.03
F0144,Sugarcane,Drip,Peaty,Rabi,290.95,6.7,3.11,12907.98,22.35
F0145,Wheat,Sprinkler,Sandy,Rabi,148.63,2.76,0.92,36556.42,5.3
F0146,Wheat,Drip,Sandy,Rabi,387.51,1.44,4.96,7988.28,26.37
F0147,Potato,Sprinkler,Sandy,Zaid,103.28,2.81,1.24,12072.06,17.94
F0148,Potato,Flood,Sandy,Kharif,169.96,7.36,4.72,40723.09,27.63
F0149,Maize,Sprinkler,Silty,Kharif,219.61,8.63,3.28,16944.42,21.65
F0150,Potato,Flood,Loamy,Zaid,259.71,8.39,3.08,56078.68,22.27
F0151,Cotton,Sprinkler,Clay,Kharif,130.3,4.27,2.61,67051.85,18.98
F0152,Sugarcane,Drip,Sandy,Rabi,68.04,6.85,1.23,77052.8,19.15
F0153,Tomato,Sprinkler,Peaty,Kharif,309.98,2.45,0.96,23013.52,16.37
F0154,Barley,Drip,Sandy,Rabi,152.85,3.28,1.18,20073.43,16.93
F0155,Potato,Sprinkler,Peaty,Zaid,295.64,9.02,1.01,14411.11,36.79
F0156,Carrot,Sprinkler,Silty,Kharif,87.33,0.62,3.92,62278.72,14.41
F0157,Wheat,Manual,Peaty,Zaid,246.8,1.31,1.82,68582.82,22.48
F0158,Cotton,Drip,Clay,Kharif,271.9,2.47,0.38,7842.75,12.85
F0159,Soybean,Manual,Loamy,Rabi,37.29,0.75,4.85,89259.1,21.1
F0160,Barley,Drip,Peaty,Zaid,176.26,2.22,4.43,9677.42,14.28
F0161,Tomato,Manual,Peaty,Kharif,77.59,6.04,4.65,53716.67,15.93
F0162,Barley,Flood,Loamy,Rabi,42.93,4.5,4.98,68815.45,17.24
F0163,Potato,Sprinkler,Clay,Zaid,495.1,8.98,0.95,83387.22,46.7
F0164,Maize,Drip,Sandy,Zaid,169.31,8.27,2.04,69267.82,27.03
F0165,Wheat,Drip,Peaty,Kharif,407.22,3.75,3.82,77155.53,40.52
F0166,Wheat,Sprinkler,Loamy,Kharif,136.26,2.96,3.51,35550.52,17.59
F0167,Soybean,Drip,Silty,Kharif,344.57,4.11,0.85,78334.26,29.0
F0168,Maize,Drip,Loamy,Rabi,382.99,6.11,4.1,12210.34,31.76
F0169,Sugarcane,Manual,Silty,Kharif,302.67,3.05,1.2,85533.5,30.45
F0170,Rice,Drip,Clay,Zaid,242.13,6.43,1.2,54283.31,19.37
F0171,Cotton,Flood,Sandy,Zaid,212.98,4.39,2.73,78556.8,30.88
F0172,Wheat,Flood,Loamy,Kharif,182.25,5.74,3.01,45708.65,20.57
F0173,Carrot,Sprinkler,Peaty,Kharif,465.61,4.64,2.94,62921.99,35.23
F0174,Wheat,Drip,Clay,Zaid,417.34,3.3,0.55,52376.24,34.1
F0175,Barley,Sprinkler,Loamy,Rabi,482.93,9.51,4.4,70843.06,48.58
F0176,Wheat,Flood,Peaty,Kharif,72.66,7.75,1.4,12346.7,11.36
F0177,Wheat,Drip,Loamy,Kharif,368.66,1.83,0.73,10431.69,26.05
F0178,Rice,Drip,Silty,Zaid,469.91,8.75,4.45,27239.29,36.14
F0179,Rice,Sprinkler,Loamy,Kharif,100.44,5.13,4.78,19359.02,24.6
F0180,Tomato,Flood,Loamy,Rabi,44.45,9.0,4.32,83460.52,19.39
F0181,Sugarcane,Drip,Loamy,Zaid,373.67,8.1,4.07,24729.26,34.11
F0182,Carrot,Sprinkler,Clay,Kharif,292.34,4.54,3.31,92827.87,27.09
F0183,Wheat,Flood,Loamy,Zaid,422.81,0.71,2.8,35320.62,38.04
F0184,Wheat,Sprinkler,Peaty,Kharif,80.21,3.05,0.53,21390.61,3.89
F0185,Cotton,Manual,Silty,Kharif,400.09,5.65,2.1,76072.87,38.06
F0186,Rice,Drip,Silty,Kharif,110.39,6.52,1.93,64283.7,17.06
F0187,Carrot,Manual,Loamy,Rabi,91.86,2.95,1.37,49837.61,12.03
F0188,Soybean,Flood,Clay,Rabi,92.16,1.82,3.64,54982.72,16.38
F0189,Tomato,Manual,Clay,Zaid,409.51,8.43,2.53,69728.16,44.95
F0190,Sugarcane,Manual,Peaty,Kharif,336.62,9.85,0.5,25560.93,39.57
F0191,Maize,Flood,Loamy,Kharif,267.26,5.49,1.18,94670.05,22.32
F0192,Sugarcane,Sprinkler,Silty,Rabi,187.11,2.13,3.45,92731.38,24.25
F0193,Barley,Manual,Clay,Kharif,440.07,3.09,0.47,63529.31,39.6
F0194,Wheat,Sprinkler,Loamy,Rabi,203.51,0.67,4.27,22958.82,6.98
F0195,Tomato,Manual,Clay,Kharif,410.5,9.19,2.53,66220.54,41.01
F0196,Barley,Sprinkler,Clay,Zaid,226.3,1.62,2.45,11497.86,15.62
F0197,Carrot,Flood,Silty,Kharif,195.95,5.98,3.0,7758.73,21.32
F0198,Maize,Manual,Sandy,Kharif,237.79,3.1,4.14,28191.46,16.64
F0199,Rice,Flood,Peaty,Rabi,159.07,5.76,1.8,46636.07,13.25
F0200,Tomato,Manual,Peaty,Kharif,376.83,6.69,3.42,83144.53,27.33
